instrument,direction,ob_ts,placed_ts,ml,entry,sl,tp,rr,fill_ts,exit_ts,outcome,pnl_r
GER40,bullish,2026-05-15 15:59:00+00:00,2026-05-15 16:00:00+00:00,0.7088350632613456,23866.7,23843.7,23912.7,2.0,,,NO_FILL,0.0
GER40,bearish,2026-05-15 08:00:00+00:00,2026-05-15 08:05:00+00:00,0.7143017200334234,24169.2,24206.2,24113.7,1.5,2026-05-15 08:51:43.179000+00:00,2026-05-15 11:07:22.903000+00:00,WIN,1.43
GER40,bearish,2026-05-15 08:01:00+00:00,2026-05-15 08:15:00+00:00,0.704010607169339,24176.2,24203.2,24130.85,1.6796296296297104,2026-05-15 08:51:46.390000+00:00,2026-05-15 08:55:24.036000+00:00,LOSS,-1.07
EURUSD,bearish,2026-05-15 17:37:00+00:00,2026-05-15 18:00:00+00:00,0.7176259208759999,1.16304,1.16358,1.1620300000000001,1.8703703703703398,,,INVALID_PRICE,0.0
EURUSD,bullish,2026-05-15 20:32:00+00:00,2026-05-15 20:35:00+00:00,0.7538137004576582,1.16223,1.16206,1.16259,2.1176470588229916,2026-05-15 21:24:40.922000+00:00,2026-05-15 21:25:39.873000+00:00,LOSS,-1.07
NAS100,bearish,2026-05-15 18:18:00+00:00,2026-05-15 18:20:00+00:00,0.7681131386613477,29366.51,29423.81,29251.909999999993,2.0,,,NO_FILL,0.0
NAS100,bearish,2026-05-15 00:25:00+00:00,2026-05-15 00:30:00+00:00,0.7864211390699142,29645.71,29652.36,29632.409999999996,2.0,2026-05-15 01:00:13.796000+00:00,2026-05-15 01:00:41.743000+00:00,LOSS,-1.07
NAS100,bearish,2026-05-15 00:30:00+00:00,2026-05-15 00:35:00+00:00,0.8538587051255748,29638.21,29655.36,29603.909999999996,2.0,2026-05-15 00:56:10.299000+00:00,2026-05-15 01:01:16.808000+00:00,LOSS,-1.07
XAUUSD,bearish,2026-05-15 15:12:00+00:00,2026-05-15 15:15:00+00:00,0.735823655742559,4554.38,4560.16,4545.710000000001,1.5,2026-05-15 15:29:03.294000+00:00,2026-05-15 15:38:31.475000+00:00,WIN,1.43
BTCUSD,bearish,2026-05-15 01:27:00+00:00,2026-05-15 01:30:00+00:00,0.7371006328487968,81450.08,81607.93,81177.24,1.7284764016472067,2026-05-15 01:32:21.017000+00:00,2026-05-15 02:39:23.998000+00:00,WIN,1.6584764016472067
GBPUSD,bearish,2026-05-15 12:30:00+00:00,2026-05-15 12:35:00+00:00,0.72541872033126,1.33542,1.33626,1.3341600000000002,1.5,2026-05-15 12:43:37.529000+00:00,2026-05-15 13:10:35.886000+00:00,LOSS,-1.07
BTCUSD,bullish,2026-05-15 14:02:00+00:00,2026-05-15 14:05:00+00:00,0.7141857606115883,78886.92,78639.77,79257.64499999999,1.5,,,NO_FILL,0.0
AUDUSD,bullish,2026-05-15 12:47:00+00:00,2026-05-15 12:50:00+00:00,0.7303732293097016,0.71451,0.71435,0.71478,1.687500000000607,,,NO_FILL,0.0
SP500,bearish,2026-05-15 00:25:00+00:00,2026-05-15 00:30:00+00:00,0.8489425984395431,7511.2,7512.2,7508.2,3.0,2026-05-15 00:55:42.515000+00:00,2026-05-15 00:56:10.323000+00:00,LOSS,-1.07
SP500,bearish,2026-05-15 00:35:00+00:00,2026-05-15 00:40:00+00:00,0.7421588763137091,7509.7,7512.45,7501.45,3.0,2026-05-15 00:48:14.059000+00:00,2026-05-15 00:56:11.595000+00:00,LOSS,-1.07
SP500,bearish,2026-05-15 19:04:00+00:00,2026-05-15 19:05:00+00:00,0.7544831334652217,7436.85,7444.85,7421.1,1.96875,2026-05-15 19:25:25.571000+00:00,2026-05-15 19:29:28.491000+00:00,LOSS,-1.07
USDJPY,bearish,2026-05-15 20:32:00+00:00,2026-05-15 20:35:00+00:00,0.7549662622188417,158.767,158.845,158.64999999999998,1.5,,,NO_FILL,0.0
DJ30,bearish,2026-05-15 13:31:00+00:00,2026-05-15 13:35:00+00:00,0.797457838203805,49745.14,49794.64,49670.89,1.5,,,INVALID_PRICE,0.0
DJ30,bearish,2026-05-15 13:32:00+00:00,2026-05-15 13:35:00+00:00,0.7954103563136455,49704.14,49794.64,49568.39,1.5,,,INVALID_PRICE,0.0
DJ30,bearish,2026-05-15 08:16:00+00:00,2026-05-15 08:20:00+00:00,0.7046631090709011,49802.14,49846.44,49735.689999999995,1.5,,,INVALID_PRICE,0.0
FRA40,bearish,2026-05-15 07:34:00+00:00,2026-05-15 07:35:00+00:00,0.7234682627503537,8021.15,8046.15,7983.65,1.5,,,NO_FILL,0.0
DJ30,bearish,2026-05-15 18:17:00+00:00,2026-05-15 18:20:00+00:00,0.7056351218374591,49645.44,49693.44,49573.44,1.5,,,INVALID_PRICE,0.0
USDCAD,bearish,2026-05-15 13:50:00+00:00,2026-05-15 13:55:00+00:00,0.7878328821027673,1.37611,1.37672,1.37503,1.7704918032786408,,,NO_FILL,0.0
USDCAD,bearish,2026-05-15 15:38:00+00:00,2026-05-15 16:00:00+00:00,0.78926324977506,1.37572,1.37635,1.374775,1.5,,,NO_FILL,0.0
USDCAD,bullish,2026-05-15 17:27:00+00:00,2026-05-15 17:30:00+00:00,0.7570403243501145,1.37366,1.37311,1.3745,1.5272727272724997,,,NO_FILL,0.0
USDCAD,bearish,2026-05-15 15:10:00+00:00,2026-05-15 15:15:00+00:00,0.7703062596523581,1.37588,1.37648,1.37498,1.5,,,NO_FILL,0.0
